Book_name,Description,Category,Tags,Rating
Blue Bird Group,"Author: Mazhar Kaleem MA
Price: 150/-","Categories: Books Under 750PKR, Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Boorha aur samundar (translation),"Author: Ernest Hemingway
Language: Urdu
Price: 199/-","Categories: Books Under 750PKR, Classics, Flash Sale, Novel U, Urdu Literature",no-tag,no-rating
Bosnia Pe Kya Guzri?- بوسنیا پر کیا گذری؟,بوسنیا میں مسلم نسل کشی کے 22 ناقابل فراموش انسانیت سوز واقعات,"Categories: Best Selling, Books Under 750PKR, English Literature, Gufhtugu Publications, Mix","Tags: Bosnia, Suhail Yusuf, Vahida",no-rating
Boys will be Boys,"Author: Sara Suleri
Language: English
Price: 395/-","Categories: Autobiography, Biography, Books Under 750PKR, English Literature, Flash Sale, International, Mix",no-tag,no-rating
Breakthrough by Dr Jamila Saleem,no-description,"Categories: Books Under 750PKR, English Literature, Gufhtugu Publications, Jamila Saleem, Our Authors",Tag: Love Relationships,no-rating
Burhapa: 1 Qudarti Amal,"Author: Dr. Javed Iqbal Qazi
Price: 200/-","Categories: Books Under 750PKR, Educational U, Urdu Literature, Urdu Science",no-tag,no-rating
Camp Fight,"Author: Mazhar Kaleem MA
Price: 150/-","Categories: Books Under 750PKR, Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Cancer – aik muhlik marz,"Author: Zaheer Ahmad Anjum
Price: 360/-","Categories: Books Under 750PKR, Flash Sale, Health, Mix, Urdu Science",no-tag,no-rating
Capital Agency,"Author: Mazhar Kaleem MA
Price: 150/-","Categories: Books Under 750PKR, Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Cat Rat Game,"Author: Mazhar Kaleem MA
Price: 200/-","Categories: Books Under 750PKR, Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Chalta Purza (Translation),"Author: Muhammad Saleem-Ur-Rehman
Language: Urdu
Price: 150/-","Categories: Books Under 750PKR, Classics, Flash Sale, Novel U, Urdu Literature",no-tag,no-rating
Chand Sipyan Samandaro se,"Author: راشد اشرف
Price: 200/-","Categories: Books Under 750PKR, Flash Sale, Zinda Kitabein",no-tag,no-rating
Charlie Chaplin – چارلی چپلن,"Author: Qaisar Chouhan
Pages: 448
Price: 300/-","Categories: Biography U, Books Under 750PKR, Urdu Literature",no-tag,no-rating
Cheen main Science Fiction,"Author: Abid Siyal
Price: 450/-","Categories: Books Under 750PKR, Educational U, Flash Sale, Mix, Urdu Literature, Urdu Science",no-tag,no-rating
Chiragh Hasan Hasrat – Ham tum ko bholy nahi,"Author: RASHID ASHRAF
Price: 400/-","Categories: Autobiography U, Biography U, Books Under 750PKR, Mix, Urdu Literature, Zinda Kitabein",no-tag,no-rating
CHIRAGH HASSAN HASRAT – 3 Edition,"Author: راشد اشرف
Price: 400/-","Categories: Books Under 750PKR, Flash Sale, Mix, Zinda Kitabein",no-tag,no-rating
Chor aur Kuttay – چور اور کتے,"Author: NAGUIB MAHFOUZ
Translator: SYED ALLAUDDIN
Pages: 128
Price: 400/-","Categories: Books Under 750PKR, New Arrivals, Novel U, Urdu Literature","Tags: Chor aur Kuttay, ghufhtugu publication, novel in urdu",no-rating
Christmas,"Author: Agatha Christie
Translator:  Yaqub Yawar
Language: Urdu
Price: 400/-","Categories: Books Under 750PKR, Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
Chupay Hath,"Author: Syed Gulzar Hasnain
Price: 150/-","Categories: Afsanay U, Books Under 750PKR, Urdu Literature",no-tag,no-rating
Cobran part 1 and 2,"Author: Mazhar Kaleem MA
Price: 280/-","Categories: Books Under 750PKR, Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Code Box,"Author: Mazhar Kaleem MA
Price:200/-","Categories: Books Under 750PKR, Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Creed of Islam,"Author: Dr. Mufti Abul Wahid
Pages: 204
Price: 350/-","Categories: Books Under 750PKR, Islam U, Islamic Books, Mix, Urdu Literature",no-tag,no-rating
Cure OF Our Worries From Durood Sharif,Author: Maulana Muhammad Shafique,"Categories: Books Under 750PKR, English Literature, Islam, New Arrivals",no-tag,no-rating
Cure Of Our Worries From Holy Quran,Author: Maulana Muhammad Shafique,"Categories: Books Under 750PKR, English Literature, Islam, New Arrivals",no-tag,no-rating
Dada aor Dildadah – دادا اور دلدادہ,"Author: Shariq Ali
Price: 300Rs","Categories: Books Under 750PKR, New Arrivals, Poetry U, Urdu Literature",no-tag,no-rating
