Book_name,Description,Category,Tags,Rating
Data Scientist Books Set – ڈیٹا سائنٹسٹ کتب سیٹ,"Pages: 4182
Price: 20850/-","Categories: Book Sets, Emerging Technologies, Gufhtugu Publications, Our Authors, Technical, Zeeshan ul Hassan Usmani, Zeeshan Usmani Reading List","Tags: Data Science, Data Science book in Urdu, Data Sciences",Rated 3.50 out of 5 based on 2 customer ratings
Data Visualization –  ڈیٹا وژولائزیشن,no-description,"Categories: Educational U, Emerging Technologies, Gufhtugu Publications, New Arrivals, Our Authors, Sana Rasheed, Technical, Zeeshan ul Hassan Usmani",no-tag,no-rating
Data Visualization –Set,"Authors: Sana Rasheed, Dr. Zeeshan Ul Hassan Usmani","Categories: Best Selling, Book Sets, Emerging Technologies, Mix, Our Authors, Sana Rasheed, Technical, Urdu Literature, Zeeshan ul Hassan Usmani, Zeeshan Usmani Reading List",no-tag,no-rating
Data Visualization in Tableau – ٹیبلؤمیں ڈیٹا وژولائزیشن,مصنفین: ثناء رشید، ذیشان الحسن عثمانی,"Categories: Educational U, Emerging Technologies, Gufhtugu Publications, Mix, Our Authors, Sana Rasheed, Technical, Zeeshan ul Hassan Usmani",Tag: data visualization,Rated 5.00 out of 5 based on 1 customer rating
Deemak ki kahani,"Author: Javed Ahmad
Price:200/-","Categories: Books Under 750PKR, Educational U, Technical, Urdu Literature, Urdu Science",no-tag,no-rating
Digital Marketing 1 – ڈیجیٹل مارکیٹنگ سیکھئے اور کمایئے (پہلی جلد ),مصنفین: ڈاکٹر ذیشان الحسن عثمانی ، ثناء رشید,"Categories: Gufhtugu Publications, New Arrivals, Our Authors, Sana Rasheed, Technical, Upcoming Books, Zeeshan ul Hassan Usmani",Tag: Digital Marketing,no-rating
Digital Marketing 2 – ڈیجیٹل مارکیٹنگ سیکھئے اور کمایئے (دوسری جلد ),مصنفین: ڈاکٹر ذیشان الحسن عثمانی ، ثناء رشید,"Categories: Emerging Technologies, Gufhtugu Publications, New Arrivals, Our Authors, Sana Rasheed, Technical, Upcoming Books, Zeeshan ul Hassan Usmani",Tag: Digital Marketing,no-rating
Digital Marketing Books Set – ڈیجیٹل مارکیٹنگ سیٹ,مصنفین: ڈاکٹر ذیشان الحسن عثمانی ، ثناء رشید,"Categories: Book Sets, Emerging Technologies, Gufhtugu Publications, New Arrivals, Our Authors, Sana Rasheed, Technical, Zeeshan ul Hassan Usmani","Tags: Digital Marketing, Digital Marketing Books by zeeshan usmani, Digital Marketing Books Set",no-rating
Dinosaur,"Author: Jamil Ahmad
Price: 500/-","Categories: Books Under 750PKR, Educational U, Mix, Technical, Urdu Literature, Urdu Science",no-tag,no-rating
Double helix,"Author: James D Watson/ Nazir Haq-Arshad Murad
Price: 110/-","Categories: Books Under 750PKR, Flash Sale, Technical",no-tag,no-rating
Driving Khud Seekhiyay – ڈرائیونگ خود سیکھئے,Author: ANJUM SULTAN SHAHBAZ,"Categories: Books Under 750PKR, Educational U, Mix, Technical, Urdu Literature",no-tag,no-rating
Ek Tha Algorithm-ایک تھا الگورتھم,Pages: 280,"Categories: Best Selling, Books Under 750PKR, Children's Books, Emerging Technologies, Gufhtugu Publications, Kids Kahaniyan, Mix, Our Authors, SciFi, Technical, Zeeshan ul Hassan Usmani",Tag: Ek Tha Algorithm,Rated 5.00 out of 5 based on 1 customer rating
Farhang e Hayatiyat,"Author: Zahida Hamid
Price: 260/-","Categories: Books Under 750PKR, Flash Sale, Technical",no-tag,no-rating
Farhang e Kimya,"Author: Jamil Ahmad
Price: 420/-","Categories: Books Under 750PKR, Flash Sale, Mix, Technical",no-tag,no-rating
Farhang e Rayazi,"Author: Fatima Bashir
Price: 270/-","Categories: Flash Sale, Technical",no-tag,no-rating
